"viet nam,Vietnam"
"my,United States"
"uc,Australia"
"thai lan,Thailand"
"korea,South Korea"
"han quoc,South Korea"
"nhat ban,Japan"
"hoa ky,United States"
"phap,France"
"duc,Germany"
"anh,United Kingdom"
"y,Italy"
"tay ban nha,Spain"
"bo dao nha,Portugal"
"ha lan,Netherlands"
"bi,Belgium"
"thuy si,Switzerland"
"ao,Austria"
"dan mach,Denmark"
"thuy dien,Sweden"
"na uy,Norway"
"phan lan,Finland"
"ai len,Ireland"
"ba lan,Poland"
"sec,Czech Republic"
"hungary,Hungary"
"hy lap,Greece"
"tho nhi ky,Turkey"
"ai cap,Egypt"
"nam phi,South Africa"
"ma roc,Morocco"
"chi le,Chile"
"trung quoc,China"
"an do,India"
"in do,Indonesia"
"pa kit tang,Pakistan"
"bang la det,Bangladesh"
"nga,Russia"
"u rai na,Ukraine"
"romania,Romania"
"bung ga ri,Bulgaria"
"macedonia,North Macedonia"
"bosnia herzegovina,Bosnia and Herzegovina"
"niu zi len,New Zealand"
"sing,Singapore"
"ma lai,Malaysia"
"phi lip pin,Philippines"
"mi an ma,Myanmar"
"my an ma,Myanmar"
"campuchia,Cambodia"
"lao,Laos"
"dong timor,East Timor"
"man dip,Maldives"
"ne pan,Nepal"
"mong co,Mongolia"
"trieu tien,North Korea"
"israel,Israel"
"palestine,Palestine"
"uae,United Arab Emirates"
"trinidad tobago,Trinidad and Tobago"
"solomon,Solomon Islands"
"guinea bissau,Guinea-Bissau"
"cape verde,Cape Verde"
"sao tome and principe,Sao Tome and Principe"
"equatorial guinea,Equatorial Guinea"
"gabon,Gabon"
"Cong hoa Congo,Congo"
"Congo,Congo"
"drc,Democratic Republic of the Congo"
"faroe islands,Faroe Islands"
